N_gram,Relevance,Wikipedia_URL_correct,Wikidata_URL_correct,Wikipedia_article_Wikidump,eval1,Wikipedia_URL_Wikidump,eval2,Wikidata_item_Pywikibot,eval3,Wikidata_URL_Pywikibot,eval4,Wikidata_item_SPARQL,eval5,Wikidata_URL_SPARQL,eval6,comment
We study,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
study the,-,-,-,-,x,-,x,study,x,https://www.wikidata.org/wiki/Q340383,x,study,x,https://www.wikidata.org/wiki/Q28106657,x,-
the possibility,-,-,-,-,x,-,x,possibility,x,https://www.wikidata.org/wiki/Q7233418,x,-,x,-,x,-
possibility of,-,-,-,-,x,-,x,possibility,x,https://www.wikidata.org/wiki/Q7233418,x,-,x,-,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-,x,-,x,-
vortices formation,1/2,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,-,x,-,x,-,x,-,x,-
formation in,-,-,-,-,x,-,x,formation,x,https://www.wikidata.org/wiki/Q342542,x,-,x,-,x,-
in axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,axion,x,https://www.wikidata.org/wiki/Q792548,x,-,x,-,x,-
axion condensate,1,https://en.wikipedia.org/wiki/Axion,,-,x,-,x,-,x,-,x,-,x,-,x,-
condensate on,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,x,-,x,condensate,x,https://www.wikidata.org/wiki/Q1781176,x,condensate,x,https://www.wikidata.org/wiki/Q2328318,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galactic,x,https://www.wikidata.org/wiki/Q851926,x,-,x,-,x,-
galactic scale,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,-,x,-,x,-,x,-,x,-
scale Such,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,-,x,-,x,-,x,-,x,-
Such vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,-,x,-,x,-,x,-,x,-
vortices can,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-
can occur,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
occur as,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
as a,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
a result,-,-,-,-,x,-,x,result,x,https://www.wikidata.org/wiki/Q2995644,x,-,x,-,x,-
result of,-,-,-,-,x,-,x,result,x,https://www.wikidata.org/wiki/Q2995644,x,result,x,https://www.wikidata.org/wiki/Q2995644,x,-
of global,-,-,-,-,x,-,x,global,x,https://www.wikidata.org/wiki/Q438562,x,-,x,-,x,-
global rotation,1/2,https://en.wikipedia.org/wiki/Rotation,https://www.wikidata.org/wiki/Q107617,-,x,-,x,-,x,-,x,-,x,-,x,-
rotation of,1,https://en.wikipedia.org/wiki/Rotation,https://www.wikidata.org/wiki/Q107617,-,x,-,x,rotation,x,https://www.wikidata.org/wiki/Q107617,x,rotation,x,https://www.wikidata.org/wiki/Q206310,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
the early,-,-,-,-,x,-,x,early,x,https://www.wikidata.org/wiki/Q355547,x,-,x,-,x,-
early universe,1,https://en.wikipedia.org/wiki/Chronology_of_the_universe#Early_universe,https://www.wikidata.org/wiki/Q136407,early universe,x,https://en.wikipedia.org/wiki/early_universe,x,-,x,-,x,-,x,-,x,-
universe We,1,https://en.wikipedia.org/wiki/Universe,https://www.wikidata.org/wiki/Q1,-,x,-,x,-,x,-,x,-,x,-,x,-
We study,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
study analytical,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
analytical models,1/2,https://en.wikipedia.org/wiki/Model,https://www.wikidata.org/wiki/Q234018,-,x,-,x,-,x,-,x,-,x,-,x,-
models of,1,https://en.wikipedia.org/wiki/Model,https://www.wikidata.org/wiki/Q234018,-,x,-,x,model,x,https://www.wikidata.org/wiki/Q234018,x,model,x,https://www.wikidata.org/wiki/Q487992,x,-
of vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-
vortices and,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-,x,-,x,-
and calculate,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
calculate exemplary,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
exemplary galaxy,1/2,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,-,x,-,x,-,x,-,x,-
galaxy rotation,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
rotation curves,1,https://en.wikipedia.org/wiki/Galaxy_rotation_curve,https://www.wikidata.org/wiki/Q1475614,rotation curve,x,https://en.wikipedia.org/wiki/rotation_curve,x,-,x,-,x,-,x,-,x,-
curves Depending,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
Depending on,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
the setup,-,-,-,-,x,-,x,setup,x,https://www.wikidata.org/wiki/Q235577,x,-,x,-,x,-
setup it,-,-,-,-,x,-,x,setup,x,https://www.wikidata.org/wiki/Q235577,x,setup,x,https://www.wikidata.org/wiki/Q5978094,x,-
it is,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
is possible,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
possible to,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
to obtain,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
obtain a,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
a variety,-,-,-,-,x,-,x,variety,x,https://www.wikidata.org/wiki/Q19623879,x,variety,x,https://www.wikidata.org/wiki/Q767728,x,-
variety of,-,-,-,-,x,-,x,variety,x,https://www.wikidata.org/wiki/Q19623879,x,variety,x,https://www.wikidata.org/wiki/Q767728,x,-
of shapes,-,-,-,-,x,-,x,shape,x,https://www.wikidata.org/wiki/Q207961,x,shape,x,https://www.wikidata.org/wiki/Q193410,x,-
shapes which,-,-,-,-,x,-,x,shape,x,https://www.wikidata.org/wiki/Q207961,x,-,x,-,x,-
which give,-,-,-,-,x,-,x,give,x,https://www.wikidata.org/wiki/Q5565592,x,-,x,-,x,-
give a,-,-,-,-,x,-,x,give,x,https://www.wikidata.org/wiki/Q5565592,x,-,x,-,x,-
a good,-,-,-,-,x,-,x,good,x,https://www.wikidata.org/wiki/Q15290,x,-,x,-,x,-
good qualitative,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
qualitative agreement,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
agreement with,-,-,-,-,x,-,x,agreement,x,https://www.wikidata.org/wiki/Q321839,x,-,x,-,x,-
with observational,1,https://en.wikipedia.org/wiki/Observation,https://www.wikidata.org/wiki/Q193181,-,x,-,x,-,x,-,x,-,x,-,x,-
observational results,1/2,https://en.wikipedia.org/wiki/Observation,https://www.wikidata.org/wiki/Q193181,-,x,-,x,-,x,-,x,-,x,-,x,-
results However,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
However as,-,-,-,-,x,-,x,However,x,https://www.wikidata.org/wiki/Q38638480,x,However,x,https://www.wikidata.org/wiki/Q1073891,x,-
as we,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
we show,-,-,-,-,x,-,x,show,x,https://www.wikidata.org/wiki/Q2934264,x,show,x,https://www.wikidata.org/wiki/Q7727549,x,-
show the,-,-,-,-,x,-,x,show,x,https://www.wikidata.org/wiki/Q2934264,x,-,x,-,x,-
the extremely,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
extremely low,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
low velocity,1/2,https://en.wikipedia.org/wiki/Velocity,https://www.wikidata.org/wiki/Q11465,-,x,-,x,-,x,-,x,-,x,-,x,-
velocity dispersions,1,https://en.wikipedia.org/wiki/Velocity_dispersion,https://www.wikidata.org/wiki/Q637450,velocity dispersion,x,https://en.wikipedia.org/wiki/velocity_dispersion,x,velocity dispersion,x,https://www.wikidata.org/wiki/Q637450,x,-,x,-,x,-
dispersions of,1,https://en.wikipedia.org/wiki/Dispersion_relation,https://www.wikidata.org/wiki/Q590051,-,x,-,x,dispersion,x,https://www.wikidata.org/wiki/Q219345,x,-,x,-,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
the axions,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,-,x,-,x,-,x,-,x,-
axions velocity,1,https://en.wikipedia.org/wiki/Velocity,,-,x,-,x,-,x,-,x,-,x,-,x,-
velocity are,1,https://en.wikipedia.org/wiki/Velocity,https://www.wikidata.org/wiki/Q11465,-,x,-,x,velocity,x,https://www.wikidata.org/wiki/Q11465,x,-,x,-,x,-
are required,-,-,-,-,x,-,x,-,x,-,x,required,x,https://www.wikidata.org/wiki/Q774228,x,-
required to,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
to form,-,-,-,-,x,-,x,form,x,https://www.wikidata.org/wiki/Q1235072,x,form,x,https://www.wikidata.org/wiki/Q183252,x,-
form the,-,-,-,-,x,-,x,form,x,https://www.wikidata.org/wiki/Q1235072,x,form,x,https://www.wikidata.org/wiki/Q183252,x,-
the single,-,-,-,-,x,-,x,single,x,https://www.wikidata.org/wiki/Q347210,x,-,x,-,x,-
single vortex,1/2,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,-,x,-,x,-,x,-,x,-
vortex on,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galactic,x,https://www.wikidata.org/wiki/Q851926,x,-,x,-,x,-
galactic scales,1/2,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,-,x,-,x,-,x,-,x,-
scales We,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,-,x,-,x,-,x,-,x,-
We find,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
find that,-,-,-,-,x,-,x,find,x,https://www.wikidata.org/wiki/Q535119,x,-,x,-,x,-
that the,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
the required,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
required velocity,1/2,https://en.wikipedia.org/wiki/Velocity,https://www.wikidata.org/wiki/Q11465,-,x,-,x,-,x,-,x,-,x,-,x,-
velocity dispersion,1,https://en.wikipedia.org/wiki/Velocity_dispersion,https://www.wikidata.org/wiki/Q637450,velocity dispersion,x,https://en.wikipedia.org/wiki/velocity_dispersion,x,velocity dispersion,x,https://www.wikidata.org/wiki/Q637450,x,-,x,-,x,-
dispersion is,1,https://en.wikipedia.org/wiki/Dispersion_relation,https://www.wikidata.org/wiki/Q590051,-,x,-,x,dispersion,x,https://www.wikidata.org/wiki/Q219345,x,dispersion,x,https://www.wikidata.org/wiki/Q4674678,x,-
is of,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the order,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,-,x,-,x,order,x,https://www.wikidata.org/wiki/Q2029226,x,-,x,-,x,-
order of,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,-,x,-,x,order,x,https://www.wikidata.org/wiki/Q2029226,x,order,x,https://www.wikidata.org/wiki/Q36602,x,-
of This,-,-,-,-,x,-,x,This,x,https://www.wikidata.org/wiki/Q398475,x,-,x,-,x,-
This is,-,-,-,-,x,-,x,This,x,https://www.wikidata.org/wiki/Q398475,x,This,x,https://www.wikidata.org/wiki/Q96409765,x,-
is much,-,-,-,-,x,-,x,much,x,https://www.wikidata.org/wiki/Q1216681,x,-,x,-,x,-
much smaller,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
smaller that,-,-,-,-,x,-,x,smaller,x,https://www.wikidata.org/wiki/Q7543639,x,-,x,-,x,-
that predicted,1/2,https://en.wikipedia.org/wiki/Prediction,https://www.wikidata.org/wiki/Q748250,-,x,-,x,-,x,-,x,-,x,-,x,-
predicted within,1/2,https://en.wikipedia.org/wiki/Prediction,https://www.wikidata.org/wiki/Q748250,-,x,-,x,-,x,-,x,-,x,-,x,-
within the,-,-,-,-,x,-,x,within,x,https://www.wikidata.org/wiki/Q1205249,x,-,x,-,x,-
the present,-,-,-,-,x,-,x,present,x,https://www.wikidata.org/wiki/Q193168,x,-,x,-,x,-
present understanding,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
understanding of,-,-,-,-,x,-,x,understanding,x,https://www.wikidata.org/wiki/Q46744,x,-,x,-,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,axion,x,https://www.wikidata.org/wiki/Q792548,x,-,x,-,x,-
axion physics,1/2,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,-,x,-,x,-,x,-,x,-
physics The,1,https://en.wikipedia.org/wiki/Physics,https://www.wikidata.org/wiki/Q413,-,x,-,x,-,x,-,x,-,x,-,x,-
The vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,-,x,-,x,-,x,-,x,-
vortices in,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-
in axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,axion,x,https://www.wikidata.org/wiki/Q792548,x,-,x,-,x,-
axion condensate,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,x,-,x,-,x,-,x,-,x,-,x,-
condensate can,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,x,-,x,condensate,x,https://www.wikidata.org/wiki/Q1781176,x,condensate,x,https://www.wikidata.org/wiki/Q2328318,x,-
can be,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
be however,-,-,-,-,x,-,x,however,x,https://www.wikidata.org/wiki/Q38638480,x,-,x,-,x,-
however formed,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
formed on,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the much,-,-,-,-,x,-,x,much,x,https://www.wikidata.org/wiki/Q1216681,x,-,x,-,x,-
much smaller,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
smaller scales,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
scales and,-,-,-,-,x,-,x,scale,x,https://www.wikidata.org/wiki/Q393789,x,-,x,-,x,-
and give,-,-,-,-,x,-,x,give,x,https://www.wikidata.org/wiki/Q5565592,x,-,x,-,x,-
give seeds,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
seeds to,-,-,-,-,x,-,x,seed,x,https://www.wikidata.org/wiki/Q40763,x,seed,x,https://www.wikidata.org/wiki/Q40763,x,-
to the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the galaxy,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galaxy,x,https://www.wikidata.org/wiki/Q318,x,galaxy,x,https://www.wikidata.org/wiki/Q318,x,-
galaxy formation,1,https://en.wikipedia.org/wiki/Galaxy_formation_and_evolution,https://www.wikidata.org/wiki/Q1995140,galaxy formation,x,https://en.wikipedia.org/wiki/galaxy_formation,x,-,x,-,x,-,x,-,x,-
formation and,-,-,-,-,x,-,x,formation,x,https://www.wikidata.org/wiki/Q342542,x,formation,x,https://www.wikidata.org/wiki/Q180303,x,-
and to,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
to their,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
their angular,1,https://en.wikipedia.org/wiki/Angle,https://www.wikidata.org/wiki/Q11352,-,x,-,x,angular,x,https://www.wikidata.org/wiki/Q4764017,x,-,x,-,x,-
angular momenta,1,https://en.wikipedia.org/wiki/Angular_momentum,https://www.wikidata.org/wiki/Q161254,angular momentum,x,https://en.wikipedia.org/wiki/angular_momentum,x,angular momentum,x,https://www.wikidata.org/wiki/Q161254,x,angular momentum,x,https://www.wikidata.org/wiki/Q161254,x,-
momenta On,1,https://en.wikipedia.org/wiki/Momentum,https://www.wikidata.org/wiki/Q41273,-,x,-,x,-,x,-,x,-,x,-,x,-
On the,-,-,-,-,x,-,x,On,x,https://www.wikidata.org/wiki/Q226361,x,On,x,https://www.wikidata.org/wiki/Q65062407,x,-
the other,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
other hand,-,-,-,-,x,-,x,hand,x,https://www.wikidata.org/wiki/Q33767,x,hand,x,https://www.wikidata.org/wiki/Q33767,x,-
hand the,-,-,-,-,x,-,x,hand,x,https://www.wikidata.org/wiki/Q33767,x,hand,x,https://www.wikidata.org/wiki/Q33767,x,-
the vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-,x,-,x,-
vortices can,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-
can be,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
be formed,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
formed on,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galactic,x,https://www.wikidata.org/wiki/Q851926,x,-,x,-,x,-
galactic scales,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q318,-,x,-,x,-,x,-,x,-,x,-,x,-
scales but,1/2,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,scale,x,https://www.wikidata.org/wiki/Q393789,x,-,x,-,x,-
but only,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
only if,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
if the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the mass,1,https://en.wikipedia.org/wiki/Mass,https://www.wikidata.org/wiki/Q11423,-,x,-,x,mass,x,https://www.wikidata.org/wiki/Q11423,x,mass,x,https://www.wikidata.org/wiki/Q11423,x,-
mass of,1,https://en.wikipedia.org/wiki/Mass,https://www.wikidata.org/wiki/Q11423,-,x,-,x,mass,x,https://www.wikidata.org/wiki/Q11423,x,-,x,-,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the axion-like,1/2,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,-,x,-,x,-,x,-,x,-
axion-like particles,1/2,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,x,-,x,-,x,-,x,-,x,-,x,-
particles is,1,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,x,-,x,particle,x,https://www.wikidata.org/wiki/Q1621273,x,-,x,-,x,-
is of,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the order,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,-,x,-,x,order,x,https://www.wikidata.org/wiki/Q2029226,x,order,x,https://www.wikidata.org/wiki/Q36602,x,-
order of,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,-,x,-,x,order,x,https://www.wikidata.org/wiki/Q2029226,x,order,x,https://www.wikidata.org/wiki/Q1548060,x,-
of In,-,-,-,-,x,-,x,In,x,https://www.wikidata.org/wiki/Q232016,x,In,x,https://www.wikidata.org/wiki/Q1094,x,-
In this,-,-,-,-,x,-,x,In,x,https://www.wikidata.org/wiki/Q232016,x,-,x,-,x,-
this case,-,-,-,-,x,-,x,case,x,https://www.wikidata.org/wiki/Q229806,x,case,x,https://www.wikidata.org/wiki/Q128234,x,-
case the,-,-,-,-,x,-,x,case,x,https://www.wikidata.org/wiki/Q229806,x,case,x,https://www.wikidata.org/wiki/Q128234,x,-
the particle,1,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,x,-,x,particle,x,https://www.wikidata.org/wiki/Q1621273,x,-,x,-,x,-
particle de,1/2,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,x,-,x,particle,x,https://www.wikidata.org/wiki/Q1621273,x,particle,x,https://www.wikidata.org/wiki/Q7140482,x,-
de Broglie,1,https://en.wikipedia.org/wiki/Louis_de_Broglie,https://www.wikidata.org/wiki/Q83331,-,x,-,x,Broglie,x,https://www.wikidata.org/wiki/Q407016,x,-,x,-,x,-
Broglie wavelength,1/2,https://en.wikipedia.org/wiki/Matter_wave,https://www.wikidata.org/wiki/Q193907,-,x,-,x,-,x,-,x,-,x,-,x,-
wavelength is,1,https://en.wikipedia.org/wiki/Wavelength,https://www.wikidata.org/wiki/Q41364,-,x,-,x,wavelength,x,https://www.wikidata.org/wiki/Q41364,x,wavelength,x,https://www.wikidata.org/wiki/Q41364,x,-
is comparable,-,-,-,-,x,-,x,comparable,x,https://www.wikidata.org/wiki/Q426611,x,-,x,-,x,-
comparable with,-,-,-,-,x,-,x,comparable,x,https://www.wikidata.org/wiki/Q426611,x,-,x,-,x,-
with the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galactic,x,https://www.wikidata.org/wiki/Q851926,x,-,x,-,x,-
galactic diameter,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
diameter This,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
This condition,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
condition must,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
must be,-,-,-,-,x,-,x,must,x,https://www.wikidata.org/wiki/Q278818,x,must,x,https://www.wikidata.org/wiki/Q278818,x,-
be fulfilled,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
fulfilled in,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
in order,-,-,-,-,x,-,x,order,x,https://www.wikidata.org/wiki/Q2029226,x,order,x,https://www.wikidata.org/wiki/Q36602,x,-
order to,-,-,-,-,x,-,x,order,x,https://www.wikidata.org/wiki/Q2029226,x,-,x,-,x,-
to keep,-,-,-,-,x,-,x,keep,x,https://www.wikidata.org/wiki/Q91165,x,-,x,-,x,-
keep the,-,-,-,-,x,-,x,keep,x,https://www.wikidata.org/wiki/Q91165,x,-,x,-,x,-
the coherence,1,https://en.wikipedia.org/wiki/Coherence_(physics),https://www.wikidata.org/wiki/Q193147,-,x,-,x,coherence,x,https://www.wikidata.org/wiki/Q177528,x,coherence,x,https://www.wikidata.org/wiki/Q193147,x,-
coherence of,1,https://en.wikipedia.org/wiki/Coherence_(physics),https://www.wikidata.org/wiki/Q193147,-,x,-,x,coherence,x,https://www.wikidata.org/wiki/Q177528,x,-,x,-,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the quantum,1,https://en.wikipedia.org/wiki/Quantum,https://www.wikidata.org/wiki/Q46344,-,x,-,x,quantum,x,https://www.wikidata.org/wiki/Q46344,x,quantum,x,https://www.wikidata.org/wiki/Q46344,x,-
quantum condensate,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,x,-,x,-,x,-,x,-,x,-,x,-
condensate on,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,x,-,x,condensate,x,https://www.wikidata.org/wiki/Q1781176,x,-,x,-,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galactic,x,https://www.wikidata.org/wiki/Q851926,x,-,x,-,x,-
galactic scales,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,-,x,-,x,-,x,-,x,-
Precision,-,-,-,,,,,,,,,,,,,
Recall,-,-,-,,,,,,,,,,,,,
F1-measure,-,-,-,,,,,,,,,,,,,
